n_person,scenario,scenario_label,model,term,n_rep,estimable_rate,singular_rate,sig_rate,beta_median,beta_q25,beta_q75,se_median
24,weak_moderated_missing,Weak effect with aptitude-linked delayed attrition,strict_unadjusted,condition_num,500,1,0.284,0.24,0.3739077105026297,0.17851910812336858,0.5778344015932833,0.30043348408418813
60,balanced_moderate,"Balanced lists, moderate context effect",lenient_adjusted,condition_num,500,1,0,0.588,0.23710265074779394,0.16146485670185637,0.313132468058206,0.10813042685952176
60,balanced_moderate,"Balanced lists, moderate context effect",partial_lmm_adjusted,condition_num,500,1,0,0.768,0.0392499555100128,0.029757608505463017,0.05020447844411534,0.014793105900098845
60,balanced_moderate,"Balanced lists, moderate context effect",partial_memory_interaction,condition_num:memory_z,500,1,0.004,0.142,0.01161951128221411,0.0018402961774089675,0.022247973912036072,0.01494793371351366
60,balanced_moderate,"Balanced lists, moderate context effect",strict_adjusted,condition_num,500,1,0.03,0.63,0.39379389348178717,0.2840154879917137,0.5159697612733706,0.1761312124944444
60,balanced_moderate,"Balanced lists, moderate context effect",strict_memory_interaction,condition_num:memory_z,500,1,0.132,0.042,-0.014008649045760045,-0.13704833637373687,0.11340025351705307,0.19183735400946544
60,balanced_moderate,"Balanced lists, moderate context effect",strict_unadjusted,condition_num,500,1,0.028,0.63,0.3935391215709194,0.28371314944832926,0.5153651166212708,0.17576859975572617
60,imperfect_counterbalance,Imperfect counterbalance with item-feature skew,lenient_adjusted,condition_num,500,1,0,0.616,0.2684067560000707,0.1984776567327156,0.35843154527502474,0.11922987540803431
60,imperfect_counterbalance,Imperfect counterbalance with item-feature skew,partial_lmm_adjusted,condition_num,500,1,0,0.714,0.041445044866107804,0.030565912953152082,0.05283329328456706,0.016168269483908464
60,imperfect_counterbalance,Imperfect counterbalance with item-feature skew,partial_memory_interaction,condition_num:memory_z,500,1,0.006,0.208,0.01677319909974764,0.006177532962354082,0.026690190367430748,0.014872633037158633
60,imperfect_counterbalance,Imperfect counterbalance with item-feature skew,strict_adjusted,condition_num,500,1,0.008,0.648,0.44451793686745267,0.31963319892099024,0.5772156173589464,0.19143926262064292
60,imperfect_counterbalance,Imperfect counterbalance with item-feature skew,strict_memory_interaction,condition_num:memory_z,500,1,0.104,0.054,-0.04227385241123083,-0.17837671087228507,0.08622742748950574,0.19490719991751532
60,imperfect_counterbalance,Imperfect counterbalance with item-feature skew,strict_unadjusted,condition_num,500,1,0.008,0.65,0.44452255085560244,0.31680942731451056,0.5754805801405547,0.19118014781487064
60,partial_only_effect,Context mainly creates partial knowledge,lenient_adjusted,condition_num,500,1,0.002,0.996,0.47407350527620506,0.39821252295561027,0.5498745310717947,0.10694823140007284
60,partial_only_effect,Context mainly creates partial knowledge,partial_lmm_adjusted,condition_num,500,1,0,0.992,0.06188624172169012,0.05123476939699741,0.07326795968286309,0.01469584646447672
60,partial_only_effect,Context mainly creates partial knowledge,partial_memory_interaction,condition_num:memory_z,500,1,0,0.148,0.011733752030067185,0.0024689197276268025,0.023003300509683383,0.014827472077831715
60,partial_only_effect,Context mainly creates partial knowledge,strict_adjusted,condition_num,500,1,0.024,0.438,0.31918785773021185,0.19423809381015622,0.44556402305102455,0.17774042656099742
60,partial_only_effect,Context mainly creates partial knowledge,strict_memory_interaction,condition_num:memory_z,500,1,0.12,0.052,-0.021143263474882573,-0.1542434708334581,0.10626545644047675,0.19394954771184802
60,partial_only_effect,Context mainly creates partial knowledge,strict_unadjusted,condition_num,500,1,0.024,0.44,0.3199654781411676,0.19700153082938898,0.4447521159638276,0.1775901575849116
60,true_null_balanced,"True null, balanced lists",lenient_adjusted,condition_num,500,1,0,0.04,-0.004589316554715615,-0.06651900680740631,0.06980295997814896,0.10982450843168556
60,true_null_balanced,"True null, balanced lists",partial_lmm_adjusted,condition_num,500,1,0,0.042,-4.319377084841432e-4,-0.0088379573580037,0.009386916410174615,0.014232510322599791
60,true_null_balanced,"True null, balanced lists",partial_memory_interaction,condition_num:memory_z,500,1,0,0.042,-9.009480036106165e-5,-0.009916324877013223,0.009347512744795455,0.014425553213094744
60,true_null_balanced,"True null, balanced lists",strict_adjusted,condition_num,500,1,0.034,0.04,0.010981961883022369,-0.13073786797638148,0.11466289736514759,0.18717448216889696
60,true_null_balanced,"True null, balanced lists",strict_memory_interaction,condition_num:memory_z,500,1,0.146,0.036,-0.0069400542675507205,-0.15189732129147226,0.13523640928615757,0.20479891684799162
60,true_null_balanced,"True null, balanced lists",strict_unadjusted,condition_num,500,1,0.032,0.04,0.00285452397032068,-0.1275967731897525,0.11555514138362669,0.18697398600375587
60,weak_moderated_missing,Weak effect with aptitude-linked delayed attrition,lenient_adjusted,condition_num,500,1,0.006,0.36,0.1831660320716973,0.10844117734577195,0.26168843886621723,0.11940313962797004
60,weak_moderated_missing,Weak effect with aptitude-linked delayed attrition,partial_lmm_adjusted,condition_num,500,1,0.006,0.56,0.03374733300155789,0.022859244302296616,0.04538959997303929,0.01615785815343858
60,weak_moderated_missing,Weak effect with aptitude-linked delayed attrition,partial_memory_interaction,condition_num:memory_z,500,1,0.01,0.93,0.058126353558113665,0.04564631632820853,0.06934540681064827,0.016179539180352965
60,weak_moderated_missing,Weak effect with aptitude-linked delayed attrition,strict_adjusted,condition_num,500,1,0.036,0.548,0.38733548917559657,0.2655594169623229,0.5069623228318436,0.18917727006896262
60,weak_moderated_missing,Weak effect with aptitude-linked delayed attrition,strict_memory_interaction,condition_num:memory_z,500,1,0.182,0.42,0.38656935613125426,0.2389755809304126,0.5286952519991716,0.2147121864698888
60,weak_moderated_missing,Weak effect with aptitude-linked delayed attrition,strict_unadjusted,condition_num,500,1,0.036,0.54,0.3859496869809106,0.26364612087937506,0.5073820518629879,0.18881706002442575
